STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-30,,,40,54,32,36,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-01,,,41,53,31,32,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-02,,,39,52,26,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-03,,,43,56,33,38,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-04,,,48,63,36,43,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-05,,,49,63,40,44,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-06,,,52,68,43,46,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-07,,,53,66,44,46,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-08,,,54,67,45,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-09,,,55,65,46,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-10,,,58,72,46,53,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-11,,,60,74,50,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-12,,,54,66,45,45,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-13,,,52,65,44,47,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-14,,,45,49,40,40,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-15,,,44,54,36,44,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-16,,,45,49,40,42,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-17,,,42,52,36,36,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-18,,,45,58,36,44,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-19,,,47,59,41,44,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-20,,,43,49,38,39,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-21,,,44,50,38,42,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-22,,,48,56,42,47,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-23,,,53,68,46,48,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-24,,,44,49,40,40,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-25,,,42,46,38,42,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-26,,,47,54,42,47,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-27,,,54,67,46,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-28,,,56,69,48,48,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-29,,,54,69,44,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-30,,,58,71,50,54,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-05-31,,,61,76,53,54,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-01,,,60,74,51,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-02,,,59,74,48,48,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-03,,,51,63,42,42,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-04,,,52,66,42,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-05,,,49,59,39,39,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-06,,,41,52,35,36,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-07,,,38,46,35,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-08,,,45,57,35,40,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-09,,,51,66,36,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-10,,,57,72,48,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-11,,,62,77,49,59,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-12,,,66,79,58,62,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-13,,,63,77,48,48,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-14,,,53,67,43,47,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-15,,,58,74,45,53,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-16,,,59,74,50,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-17,,,58,74,47,52,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-18,,,55,66,46,48,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-19,,,45,57,36,37,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-20,,,42,49,36,41,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-21,,,48,62,40,44,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-22,,,52,65,43,47,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-23,,,49,61,42,43,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-24,,,48,60,38,42,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-25,,,49,67,40,43,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-26,,,47,58,42,43,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-27,,,46,55,42,43,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-28,,,48,61,40,44,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-29,,,53,66,42,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-06-30,,,57,69,46,53,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-01,,,59,73,50,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-02,,,50,55,46,46,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-03,,,53,69,41,48,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-04,,,56,69,44,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-05,,,57,70,49,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-06,,,52,62,45,45,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-07,,,51,62,44,45,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-08,,,53,64,44,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-09,,,56,66,49,53,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-10,,,57,67,51,54,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-11,,,56,69,48,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-12,,,56,68,47,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-13,,,57,69,50,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-14,,,57,70,47,54,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-15,,,53,59,48,49,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-16,,,54,64,46,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-17,,,51,53,49,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-18,,,50,58,42,42,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-19,,,49,62,40,44,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-20,,,57,72,44,54,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-21,,,62,77,51,60,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-22,,,66,80,55,55,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-23,,,59,77,46,46,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-24,,,53,66,44,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-25,,,63,78,48,58,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-26,,,66,81,55,56,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-27,,,56,66,47,47,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-28,,,58,75,45,54,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-29,,,62,77,51,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-30,,,58,73,48,52,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-07-31,,,60,74,50,54,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-01,,,63,78,52,58,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-02,,,59,70,49,51,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-03,,,60,76,49,57,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-04,,,66,80,56,63,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-05,,,70,85,61,65,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-06,,,73,89,63,69,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-07,,,72,88,62,63,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-08,,,66,81,52,52,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-09,,,59,73,51,55,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-10,,,55,66,51,52,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-11,,,53,62,48,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-12,,,56,70,47,52,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-13,,,60,76,51,57,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-14,,,61,74,54,56,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-15,,,60,73,51,52,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-16,,,57,70,50,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-17,,,54,68,48,48,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-18,,,58,77,47,53,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-19,,,60,74,48,58,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-20,,,65,79,57,58,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-21,,,56,61,50,50,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-08-22,,,54,67,46,51,,,,
